Date,Open,High,Low,Close,Adj Close,Volume
2021-11-12,1720.000000,1744.550049,1717.400024,1733.949951,1733.949951,282783
2021-11-15,1747.000000,1747.000000,1695.000000,1705.800049,1705.800049,651767
2021-11-16,1713.000000,1735.400024,1698.000000,1709.849976,1709.849976,326296
2021-11-17,1706.849976,1771.000000,1701.199951,1737.650024,1737.650024,809190
2021-11-18,1740.000000,1748.650024,1662.550049,1694.949951,1694.949951,680803
2021-11-22,1705.000000,1705.000000,1568.400024,1604.300049,1604.300049,976157
2021-11-23,1576.550049,1619.199951,1560.250000,1603.400024,1603.400024,610252
2021-11-24,1615.599976,1641.849976,1550.000000,1568.650024,1568.650024,1107400
2021-11-25,1570.000000,1576.949951,1526.000000,1561.000000,1561.000000,1063722
2021-11-26,1518.500000,1518.500000,1372.300049,1391.000000,1391.000000,3795309
2021-11-29,1303.000000,1398.550049,1303.000000,1377.050049,1377.050049,2189414
2021-11-30,1380.050049,1444.199951,1361.050049,1371.599976,1371.599976,1450293
2021-12-01,1371.599976,1380.000000,1327.000000,1353.349976,1353.349976,1271178
2021-12-02,1353.500000,1413.699951,1345.050049,1399.199951,1399.199951,1118678
2021-12-03,1398.599976,1474.500000,1381.150024,1442.099976,1442.099976,2731969
2021-12-06,1417.949951,1446.349976,1332.000000,1350.650024,1350.650024,2247217
2021-12-07,1373.500000,1426.949951,1370.000000,1414.550049,1414.550049,2196401
2021-12-08,1446.849976,1463.900024,1410.949951,1452.800049,1452.800049,1856911
2021-12-09,1449.000000,1493.949951,1440.300049,1488.199951,1488.199951,1802742
2021-12-10,1490.000000,1498.000000,1460.000000,1465.000000,1465.000000,830801
2021-12-13,1479.900024,1485.300049,1445.000000,1453.650024,1453.650024,587182
2021-12-14,1438.000000,1439.349976,1405.300049,1424.900024,1424.900024,1214377
2021-12-15,1423.099976,1425.400024,1387.000000,1390.400024,1390.400024,649877
2021-12-16,1402.849976,1416.449951,1351.199951,1357.900024,1357.900024,847437
2021-12-17,1364.000000,1364.000000,1300.050049,1310.650024,1310.650024,1623175
2021-12-20,1290.000000,1300.000000,1224.050049,1252.050049,1252.050049,1146630
2021-12-21,1274.000000,1296.300049,1244.099976,1272.500000,1272.500000,953231
2021-12-22,1272.500000,1331.500000,1272.500000,1323.599976,1323.599976,1036926
2021-12-23,1332.000000,1362.750000,1325.050049,1357.599976,1357.599976,851708
2021-12-24,1370.000000,1370.000000,1312.500000,1318.900024,1318.900024,932542
2021-12-27,1290.000000,1348.650024,1262.500000,1334.650024,1334.650024,1340343
2021-12-28,1347.000000,1379.949951,1270.000000,1285.199951,1285.199951,2398260
2021-12-29,1271.000000,1286.300049,1241.000000,1260.949951,1260.949951,2392589
2021-12-30,1255.900024,1282.500000,1251.000000,1273.400024,1273.400024,1192801
2021-12-31,1252.000000,1307.949951,1252.000000,1298.300049,1298.300049,1381082
2022-01-03,1271.550049,1351.449951,1256.000000,1341.000000,1341.000000,2457508
2022-01-04,1311.000000,1371.000000,1311.000000,1346.750000,1346.750000,2265505
2022-01-05,1336.000000,1368.000000,1319.349976,1362.699951,1362.699951,1398439
2022-01-06,1325.000000,1390.000000,1325.000000,1382.900024,1382.900024,1407143
2022-01-07,1390.000000,1395.000000,1348.099976,1366.900024,1366.900024,1266668
2022-01-10,1350.000000,1445.000000,1350.000000,1433.650024,1433.650024,2367024
2022-01-11,1410.000000,1489.000000,1410.000000,1482.800049,1482.800049,1880975
2022-01-12,1480.000000,1568.150024,1480.000000,1555.750000,1555.750000,3007008
2022-01-13,1540.000000,1558.849976,1521.400024,1546.250000,1546.250000,1262393
2022-01-14,1532.150024,1569.949951,1528.349976,1554.449951,1554.449951,818261
2022-01-17,1555.000000,1589.699951,1554.449951,1573.050049,1573.050049,917468
2022-01-18,1577.000000,1605.500000,1552.000000,1565.050049,1565.050049,1643781
2022-01-19,1565.050049,1588.699951,1558.250000,1572.699951,1572.699951,1011483
2022-01-20,1574.949951,1586.650024,1511.550049,1563.449951,1563.449951,1373616
2022-01-21,1551.949951,1589.900024,1509.349976,1537.349976,1537.349976,2637672
2022-01-24,1536.000000,1558.099976,1477.050049,1520.349976,1520.349976,1607660
2022-01-25,1518.349976,1609.500000,1503.050049,1568.599976,1568.599976,1627239
2022-01-27,1520.000000,1590.849976,1520.000000,1536.150024,1536.150024,1485798
2022-01-28,1562.400024,1638.349976,1542.300049,1553.699951,1553.699951,1592107
2022-01-31,1587.800049,1608.949951,1562.000000,1588.349976,1588.349976,897589
2022-02-01,1597.699951,1608.500000,1570.000000,1602.449951,1602.449951,718003
2022-02-02,1618.000000,1643.000000,1596.000000,1600.949951,1600.949951,644620
2022-02-03,1609.000000,1618.000000,1586.949951,1598.900024,1598.900024,541711
2022-02-04,1600.000000,1618.000000,1592.000000,1608.599976,1608.599976,497604
2022-02-07,1608.000000,1642.000000,1587.349976,1604.599976,1604.599976,881513
2022-02-08,1611.699951,1631.349976,1588.000000,1618.150024,1618.150024,795181
2022-02-09,1635.800049,1663.000000,1606.000000,1647.800049,1647.800049,1195996
2022-02-10,1657.800049,1681.400024,1645.349976,1669.750000,1669.750000,660553
